timestamp,ecg,acc,temp,ir,red
1969CC1F27D,7C0,NR,NR,NR,NR
1969CC1F280,845,NR,NR,1DA47,1D796
1969CC1F284,8A3,NR,NR,NR,NR
1969CC1F287,843,NR,NR,NR,NR
1969CC1F28A,7E3,NR,NR,1DA47,1D796
1969CC1F28E,7D3,NR,28.23,NR,NR
1969CC1F291,867,NR,NR,NR,NR
1969CC1F295,8A1,0.98,NR,1DA47,1D796
1969CC1F298,851,NR,NR,NR,NR
1969CC1F29B,7DB,NR,NR,NR,NR
1969CC1F29F,7D9,NR,NR,1D94E,1D8FC
1969CC1F2A2,87E,NR,NR,NR,NR
1969CC1F2A6,8BF,NR,NR,NR,NR
1969CC1F2A9,846,NR,NR,1D94E,1D8FC
1969CC1F2AC,7E6,NR,NR,NR,NR
1969CC1F2B0,7F5,NR,NR,NR,NR
1969CC1F2B3,8AD,NR,NR,1D94E,1D8FC
1969CC1F2B7,8A4,NR,NR,NR,NR
1969CC1F2BA,866,NR,NR,NR,NR
1969CC1F2BD,805,NR,NR,1D94E,1D8FC
1969CC1F2C1,824,NR,NR,NR,NR
1969CC1F2C4,86D,NR,NR,NR,NR
1969CC1F2C8,8DA,NR,NR,1D866,1D9B3
1969CC1F2CB,837,NR,NR,NR,NR
1969CC1F2CF,81A,NR,NR,NR,NR
1969CC1F2D2,840,NR,NR,1D866,1D9B3
1969CC1F2D5,8BC,NR,NR,NR,NR
1969CC1F2D9,8B0,NR,NR,NR,NR
1969CC1F2DC,NR,NR,NR,1D866,1D9B3
1969CC1F2E0,7F6,NR,NR,NR,NR
1969CC1F2E3,83E,NR,NR,NR,NR
1969CC1F2E7,8B0,NR,NR,1D866,1D9B3
1969CC1F2EA,877,NR,NR,NR,NR
1969CC1F2EE,821,NR,NR,NR,NR
1969CC1F2F1,NR,NR,NR,1DB72,1D949
1969CC1F2F4,872,NR,NR,NR,NR
1969CC1F2F8,8D0,NR,NR,1DB72,1D949
1969CC1F2FB,87B,NR,NR,NR,NR
1969CC1F2FF,7F5,NR,NR,NR,NR
1969CC1F302,7F0,NR,NR,1DB72,1D949
1969CC1F305,863,NR,NR,NR,NR
1969CC1F309,8C3,NR,NR,NR,NR
1969CC1F310,80A,NR,NR,1DB72,1D949
1969CC1F313,7FF,NR,NR,NR,NR
1969CC1F316,87B,NR,NR,1DA18,1D9A5
1969CC1F31A,8E2,NR,NR,NR,NR
1969CC1F31D,862,NR,NR,NR,NR
1969CC1F324,7FF,NR,NR,1DA18,1D9A5
1969CC1F327,885,NR,NR,NR,NR
1969CC1F32B,8C5,NR,NR,NR,NR
1969CC1F32E,849,NR,NR,1DA18,1D9A5
1969CC1F332,7D1,NR,NR,NR,NR
